,tweet_id,created_at,text,likes,retweeted,location,language,airline
191,1334514992775884804,2020-12-03 15:09:03,"Who else saved money and is ready to fly? I’ve been going stir crazy for a year, saved vacation time, haven’t done… https://t.co/pZuguck6hP",0,False,"Colorado, USA",en,#UnitedAirlines
192,1334513767883956227,2020-12-03 15:04:10,❤️787-10 as it debuted our award winning Inflight entertainment with the world’s most extensive suite of accessibil… https://t.co/dlSkDPu59L,0,False,"California, USA",en,#UnitedAirlines
193,1334513445232840708,2020-12-03 15:02:54,"RT @DFWAirport: This #ThrowbackThursday from 2019 has us wishing for a #Mandalorian-themed livery... Any chance of making that happen, @Uni…",0,False,DFW,en,#UnitedAirlines
194,1334513116110057479,2020-12-03 15:01:35,"RT @DFWAirport: This #ThrowbackThursday from 2019 has us wishing for a #Mandalorian-themed livery... Any chance of making that happen, @Uni…",0,False,Worldwide,en,#UnitedAirlines
195,1334512524184727554,2020-12-03 14:59:14,"RT @DFWAirport: This #ThrowbackThursday from 2019 has us wishing for a #Mandalorian-themed livery... Any chance of making that happen, @Uni…",0,False,,en,#UnitedAirlines
196,1334512288179621888,2020-12-03 14:58:18,"RT @DFWAirport: This #ThrowbackThursday from 2019 has us wishing for a #Mandalorian-themed livery... Any chance of making that happen, @Uni…",0,False,"Screwston, Texas",en,#UnitedAirlines
197,1334512219132977152,2020-12-03 14:58:01,This #ThrowbackThursday from 2019 has us wishing for a #Mandalorian-themed livery... Any chance of making that happ… https://t.co/mLofddJBA4,151,False,"DFW Airport, TX",en,#UnitedAirlines
198,1334505702069575680,2020-12-03 14:32:07,I can’t wait to get on a plane again man.. with the Pfizer vaccine and all the vaccines coming out I will be jumpin… https://t.co/4oD5LDXqev,0,False,"Colorado, USA",en,#UnitedAirlines
199,1334485997573328896,2020-12-03 13:13:50,"@united To ensure passenger safety, Perhaps your new boarding procedure for Hawaii should be that folks have to phy… https://t.co/3yxRIfThVB",0,False,"New York, USA",en,#UnitedAirlines
200,1334460014468194305,2020-12-03 11:30:35,@MerielMyers SFO and the worst hotel ever that was like mini Mogadishu because #UnitedAirlines hit us with a 12 hou… https://t.co/dd1ztcVrLI,0,False,,en,#UnitedAirlines
201,1334286674176643074,2020-12-03 00:01:47,Just like United. At least they didn't put the child in an overhead bin... They've probably done they one too.… https://t.co/hmJJ0lBKjs,0,False,,en,#UnitedAirlines
202,1334282930915586057,2020-12-02 23:46:55,"RT @JaspreetTravels: A #WingWednesday window seat view from one of my favorite approaches into @fly2ohare ✈️ 🌃 

#avgeek #beingunited #unit…",0,False,Worldwide,en,#UnitedAirlines
203,1334282285554741248,2020-12-02 23:44:21,"RT @JaspreetTravels: A #WingWednesday window seat view from one of my favorite approaches into @fly2ohare ✈️ 🌃 

#avgeek #beingunited #unit…",0,False,,en,#UnitedAirlines
204,1334234462780059658,2020-12-02 20:34:19,Another dose of Vaccine arrives in Chicago. BRU-ORD 12/02/20. #chooseohare #unitedairlines #covidvacccine #chicago… https://t.co/rdTETvhwYf,0,False,"Illinois, USA",en,#UnitedAirlines
205,1334226722015891457,2020-12-02 20:03:33,"American Airlines Prepares to Reintroduce 737 Max Flights

#737MAX $AAL #Aircrafts #AmericanAirlines #Employee… https://t.co/vpTwWVAFWs",0,False,"New York, New York",en,#UnitedAirlines
